Name,Formato,Stato,Data di pubblicazione,Tipologia contenuto,Data di registrazione
LYNUP: Raccontiamo la nostra storia,Reel,✅ Pubblicato,27/05/2025,,
NEOGELA: Il vostro collagene va bene anche per la pelle?,Reel,✅ Pubblicato,02/09/2025,EduCollagene,
NEOGELA: Per quanto tempo prendere il collagene?,Reel,✅ Pubblicato,18/07/2025,EduCollagene,
"NEOGELA: Rigidità articolare: quali potrebbero essere le cause ",Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: Esercizi indicati in caso di osteoporosi,Reel,✅ Pubblicato,30/09/2025,Consigli,
NEOGELA: Avete un collagene marino?,Reel,✅ Pubblicato,08/08/2025,EduCollagene,
"NEOGELA: Diagnosi di osteoporosi: 3 passi da fare subito ",Reel,✅ Pubblicato,19/08/2025,Consigli,
"NEOGELA: Osteoporosi: terapia farmacologica o trattamento naturale? ",Reel,🗓️ Programmato,04/07/2025,Informativo,
NEOGELA: Bifosfonati e interventi di odontoiatria,Reel,Spostato in Notion MUVI Lab,,Informativo,
NEOGELA: In quanto tempo guarisce una frattura?,Reel,✅ Pubblicato,01/08/2025,Domande dal blog,
"NEOGELA:  ""Cosa succede nel tuo corpo quando assumi il collagene”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA: ""Fratture da fragilità: cosa sono e perché aumentano con l'età”<<",Reel,💻 Da montare,,,03/07/2026
"NEOGELA: ""Dolore muscolare o dolore articolare? Come riconoscere la differenza”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA:  ""Quanti anni hanno le tue ossa?” - video lancio quiz lead generation",Reel,💻 Da montare,,,03/07/2026
"NEOGELA: ""Settembre preview: come riprendere la routine di collagene dopo l'estate”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA: ""Perché con l'età aumenta il bisogno di collagene”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA: ""Collagene e bevande fredde: si può sciogliere anche d'estate?”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA: ""Perché vitamina C e collagene vanno bene insieme”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA:  ""3 segnali che il tuo corpo ti manda quando ha bisogno di collagene”",Reel,🎥 Da registrare,,,03/07/2026
"NEOGELA:  ""3 domande da fare al medico per la salute ossea dei genitori”",Reel,💻 Da montare,,,03/07/2026
"NEOGELA:  ""Collagene tipo I vs tipo II: qual è giusto per le tue articolazioni?”",Reel,💻 Da montare,,,03/07/2026
NEOGELA: Promo estate,Reel,💻 Da montare,,,
"NEOGELA: Non sempre puoi fidarti delle persone, ma puoi fidarti del team Neogela (v.reference)",Reel,🎥 Da registrare,,Trend,
"NEOGELA: unboxing ASMR packaging ",Reel,Spostato in Notion MUVI Lab,,ADS,27/10/2025
NEOGELA: il magazzino si riempie,Reel,Spostato in Notion MUVI Lab,,Trend,27/10/2025
NEOGELA: Pov: integratore che fa ringiovanire le tue ossa con audio trend (v. reference),Reel,Spostato in Notion MUVI Lab,,Trend,27/10/2025
NEOGELA: Quanti grammi di Neogela posso prendere al giorno?,Reel,Spostato in Notion MUVI Lab,,Informativo,27/10/2025
NEOGELA: Quando è meglio assumere il collagene?,Reel,Spostato in Notion MUVI Lab,,Informativo,27/10/2025
NEOGELA: Come si conserva Neogela e quanto dura?,Reel,Spostato in Notion MUVI Lab,,Informativo,27/10/2025
NEOGELA: perché prendi il collagene se sei così giovane?,Reel,Spostato in Notion MUVI Lab,,Falso mito,27/10/2025
NEOGELA: chissà quanti allergeni ci sono nei vostri integratori,Reel,Spostato in Notion MUVI Lab,,Falso mito,27/10/2025
NEOGELA: Pack ossa sane,Reel,Spostato in Notion MUVI Lab,,Vendita,29/01/2026
NEOGELA: un giorno in Neogela (dietro le quinte),Reel,Spostato in Notion MUVI Lab,,Aziendale,29/01/2026
NEOGELA: perché abbiamo scelto il collagene idrolizzato,Reel,🎥 Da registrare,,Aziendale,
NEOGELA: Preparazione di un pacco,Reel,🎥 Da registrare,,Trend,15/05/2026
NEOGELA: Spieghiamo il collagene e i suoi benefici,Video YouTube,💻 Da montare,,EduCollagene,
NEOGELA: Studi clinici sul collagene + invito a vedere i casi raccolti,Video YouTube,💻 Da montare,,EduCollagene,
NEOGELA: maternità - il calcio “scappa” durante l’allattamento?,Reel,Spostato in Notion MUVI Lab,,Informativo,29/01/2026
NEOGELA: Osteoporosi gravidica,Reel,Spostato in Notion MUVI Lab,,Informativo,29/01/2026
NEOGELA: Video promo San Valentino,Reel,Spostato in Notion MUVI Lab,,ADS,29/01/2026
NEOGELA:  tutto il team assume neogela,Reel,Spostato in Notion MUVI Lab,,,
NEOGELA: Video auguri Buon Anno,Reel,Spostato in Notion MUVI Lab,,Aziendale,05/12/2025
NEOGELA: Video auguri di Natale Team,Reel,Spostato in Notion MUVI Lab,,Aziendale,05/12/2025
NEOGELA: Esercizi quotidiani per chi lavora seduto tutto il giorno (in collab),Reel,Spostato in Notion MUVI Lab,,Consigli,25/11/2025
NEOGELA: Come riprendere l’attività fisica dopo una frattura da osteoporosi (in collab),Reel,Spostato in Notion MUVI Lab,,Consigli,25/11/2025
NEOGELA: video promo Natalizia,Reel,Spostato in Notion MUVI Lab,,Vendita,05/12/2025
NEOGELA: Promo Black Friday busta con sconto,Reel,Spostato in Notion MUVI Lab,,Trend,17/11/2025
NEOGELA: Promo Black Friday parlato,Reel,Spostato in Notion MUVI Lab,,Trend,17/11/2025
LYNUP: batteria scarica,Reel,💻 Da montare,,Trend,17/11/2025
"LYNUP: come creiamo Lynup ",Reel,💻 Da montare,,Trend,17/11/2025
LYNUP: la carica per le mie ossa,Reel,💻 Da montare,,Trend,17/11/2025
"LYNUP: Il Natale con Lynup ",Reel,✅ Pubblicato,23/12/2025,Trend,17/11/2025
LYNUP: carosello gravidanza,Carosello,🗓️ Programmato,15/12/2025,Informativo,
LYNUP: foto 2 - promo Natale,Post,🗓️ Programmato,27/12/2025,Vendita,
LYNUP: foto 1 - promo Natale,Post,🗓️ Programmato,18/12/2025,Vendita,
LYNUP: foto anteprima packaging natalizio che annuncia l’arrivo di una promo,Post,✅ Pubblicato,11/12/2025,Vendita,
LYNUP: inizio promo Natale,Reel,✅ Pubblicato,12/12/2025,Trend,17/11/2025
"NEOGELA: ",Reel,,,,
NEOGELA: Postura e carico quotidiano: gli errori che stressano ossa e articolazioni”,Reel,Spostato in Notion MUVI Lab,,Informativo,15/05/2026
"NEOGELA: Pavimento pelvico, equilibrio e rischio cadute: il legame che pochi conoscono",Reel,💡 Idea,,,15/05/2026
NEOGELA: “Sport e ossa: cosa è sicuro fare (e cosa no),Reel,Spostato in Notion MUVI Lab,,Consigli,15/05/2026
NEOGELA: Lesione al menisco (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,Informativo,25/11/2025
NEOGELA: Lesione al crociato (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,Informativo,25/11/2025
NEOGELA: Fratture da stress e recupero (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,,09/03/2026
NEOGELA: Postura e Osteoporosi (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,Consigli,25/11/2025
NEOGELA: Crolli vertebrali (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,Informativo,25/11/2025
NEOGELA: Condrosi (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,,09/03/2026
NEOGELA: Sarcopenia attività fisica (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,Consigli,09/03/2026
NEOGELA: Sarcopenia aspetto clinico (in collab con Personal Trainer),Reel,Spostato in Notion MUVI Lab,,Informativo,09/03/2026
NEOGELA: Dolori articolari (con Personal Trainer),Reel,✅ Pubblicato,08/07/2025,Consigli,
NEOGELA: Recupero funzionale (con Personal Trainer),Reel,✅ Pubblicato,09/09/2025,Informativo,
NEOGELA: Recupero post infortunio (con Personal Trainer),Reel,✅ Pubblicato,12/08/2025,Informativo,
NEOGELA: Trial,Reel,✅ Pubblicato,,,09/03/2026
NEOGELA: TPallavvolo,Reel,,,,
PODCAST,,,,,
"NEOGELA: Trasparenza, cosa significa per Zeta 92",Reel,✅ Pubblicato,17/06/2025,Aziendale,
NEOGELA: Consulenza gratuita,Reel,✅ Pubblicato,06/06/2025,Differenziazione,
NEOGELA: Curiosità sul collagene,Reel,✅ Pubblicato,24/06/2025,EduCollagene,
NEOGELA: Perché bisogna assumere un collagene idrolizzato?,Reel,✅ Pubblicato,10/06/2025,Informativo,
NEOGELA: qual è l’esame più attendibile per diagnosticare l’osteoporosi?,Reel,✅ Pubblicato,22/07/2025,Informativo,
NEOGELA: Campagna box,Reel,✅ Pubblicato,,ADS,
NEOGELA: All you need is,Reel,✅ Pubblicato,24/07/2025,Trend,
NEOGELA: È l’ora del collagene,Reel,Spostato in Notion MUVI Lab,,Trend,
NEOGELA: Neogela in cucina,Reel,✅ Pubblicato,13/06/2025,Trend,
NEOGELA: Magic arm con bustina,Reel,💡 Idea,,Trend,
LYNUP: Perché prendere un multivitaminico in gravidanza?,Reel,✅ Pubblicato,09/06/2025,Informativo,
LYNUP: Perché prendere un multivitaminico in menopausa?,Reel,✅ Pubblicato,29/05/2025,Informativo,
"LYNUP: Quali sono gli alimenti più ricchi di… ",Reel,✅ Pubblicato,30/06/2025,Informativo,
"LYNUP: Mal di schiena, dolore alle ginocchia…",Reel,✅ Pubblicato,19/06/2025,Informativo,
