Attività,Piattaforma,Ora di inizio,Ora di fine,STATUS,BUDGET,Budget Speso,Pubblico,Creatività,Note/ Update,Screenshot insight,Numero conversioni,Report insights
Campagna traffico profilo Instagram con pubblico freddo,META ,22/10/24,,in corso,€ 12 al giorno,"€ 656,26","ampio 25-65+, Italia",grafiche con pain point giocatori + confronto campo usurato e campo manutentato,"- Questa campagna ha degli ottimi risultati e ci permette di dare maggiore visibilità ai contenuti video e caroselli
- Ottimi risultati per i caroselli: hanno un CTR alto e ciò significa che creano interesse",,,"Gruppo di inserzioni con video (attivo dal 2024 con video a rotazione, vengono inseriti i video direttamente dal ped)

- Visite al profilo: 5992
- Costo per risultato: € 0,03
- Impression. 99.872
- Copertura: 68.941
- CTR: 6,47% - molto alto!

Gruppo di inserzioni con caroseli (attivo da gennaio 2026 con caroselli a rotazione, vengono inseriti i caroselli direttamente dal ped)

- Visite al profilo: 7031
- Nuovi follower su Instagram: 128
- Costo per risultato: € 0,03
- Impression. 83.857
- Copertura: 42.797
- CTR: 9,43% - molto alto!"
campagna conversione feb-marzo,META ,1/2/25,31/3/25,completata,€ 70 al giorno,"€ 3.002,45","Donne, 30-65+",ITP deve capire quale magnete utilizzare,"Budget: € 70 (aumentato a 80 nell’ultima settimana)

Feed di Facebook 59 acquisti
Instagram Sezione Notizie 25 acquisti",,123,"conversioni 123
CPA 24,41
valore conversione € 13.534,14
CPC € 0,17
CTR 2,91%
ROAS 4,51
impression.  614.692
reach 58.913"
Campagna traffico a pagina su osteoporosi,META ,6/2/25,31/3/25,completata,1200 totali,"€ 520,56","Italia, Target: ampio uomo e donna 25-65+, Italia",uguale a fase 1 FR del 21/1/2025,"
Obiettivo: traffico al sito alla landing page Neogela Collagene Vero | Ossa & Articolazioni Osteoporosi: da dove cominciare?
Focus: individuare i pain point della diagnosi e del non sapere come comportarsi dopo aver fatto le analisi; video con cliente, che permette di immedesimarsi

Creatività usate: video con testimonianza cliente ",,,"- Totale visualizzazioni pagina di destinazione: 17.691
- CTR totale: 4,20%
- Gruppo di inserzioni con posizionamento Facebook
    - Visualizzazioni pagina da posizionamento Facebook: 15.511
    - Costo per risultato: €0,03
    - Impression totali per posizionamento FB: 422.124
    - Copertura totale per posizionamento FB: 237.181
- Gruppo di inserzioni con posizionamento Instagram
    - Visualizzazioni pagina da posizionamento Instagram: 2180
    - Costo per risultato: €0,03
    - Impression totali per posizionamento IG: 32.438
    - Copertura totale per posizionamento IG: 24.985


Campagna ha portando traffico alla landing page con un costo per visualizzazione basso
- incrociare i dati e verificare se a questo traffico corrispondono una serie di azioni da parte degli utenti, come:
    - richieste di informazioni
    - acquisti
    - chiamate, messaggi"
Campagna conversione San Valentino,META ,12/2/25,15/2/25,completata,350 totali,"€ 349,12",,magnete uguale all'Italia: prezzo speciale a partire da 19.500€ per panoramico outdoor e deluxe outdoor      ,"- Offerta della campagna complessa: le modalità di utilizzo della promo non sono facilmente comprensibili da grafica; infatti la creatività video ha ottenuto un ROAS più alto e un tasso di click più elevato
- In occasione di promozioni con una durata così breve e dalle condizioni abbastanza articolare, potremmo prediligere in formato video",,26," conversioni 26
 CPA € 13,43
valore conversione € 2742,61
CPC € 0,33
CTR 3,26%
ROAS 7,86
impression 57.255
reach 10.960"
Campagna di vendita Pasqua,META ,27/3/26,7/4/26,completata,"€ 500,00","€ 198,37","3 pubblici diversi:
- 1 gruppo di inserzioni Italia con target retargeting (sito web 30 gg, engaged pagine fb e ig 30gg, add to cart, inizio check out 14gg)
- 1 gruppo broad 25-65+ Italia (più performante)
- 1 gruppo 25-65+ anni Italia con interessi (salute e benessere, shopping online, everyday health, acquirenti coinvolti)",uguale alla francia,,,30,"- conversioni 30
- CPA € 6,61
- valore conversioni € 3026,64
- CPC: € 0,19
- CTR: 1,99%
- ROAS: 15,26
- impression 34.633
- reach 6380"
[Conversione] Aprile 2026,META ,14/4/25,13/5/25,completata,70 al giorno,"€ 1.666,34","Pubblico broad: 25-65+ Italia, uomini e donne",,"Questa campagna era inizialmente partita con l'idea di promuovere anche dei contenuti video generali di Giulia, sempre con l'obiettivo conversione.
Una volta introdotte anche le grafiche, abbiamo notato come queste siano state le più performanti, in particolare le grafiche che ripoducono il funzionamento di Neogela (con il barattolo da 400g)",,34,"- conversioni 34
- CPA € 49
- valore conversioni € 3994,40
- CPC: € 0,22
- CTR: 1,76%
- ROAS: 2,40
- impression 271.286
- reach 32.588"
IT | Search | Conv | Brand,GOOGLE ADS,2020,,in corso,26 al giorno (prima era 18 al giorno),"€17,423.53",Italia,,"Campagna Search con obiettivo conversione
","A questa campagna abbiamo allocato €8/giorno dalla Pmax
Abbiamo Modificato termini non accettati da google (v. Sopra), anche se devo sempre monitorare e verificare che le modifiche vengano approvate
- Inserito nuove parole chiave nella campagna brand (tutto già documentato a Giulia nell'emaill del 30 aprile)","4,407.96","Risultati per tutta la durata della campagna, dal 2020 
- conversioni 4,407.96
- valore conversioni 325,324.74
- costo conversione € 3,95"
IT | Pmax | Conv | Hot&Cold,GOOGLE ADS,2023,,in corso,18 al giorno ,"€14,026.66",Automatico italia,,"Campagna Performance Max, automatizzata nella scelta del pubblico e nelle ottimizzazioni di testi e creatività. Si tratta della campagna con problemi legati a policy di terminologie e immagini legate al settore medico - ci siamo già attivati sull'ottimizzazione, è sempre da monitorare",,,"Risultati per tutta la durata della campagna, dal 2020 
- conversioni 502.08
- valore conversioni 48,145.05
- costo conversione € 27,94"
IT | Search | Traffico | Cold,GOOGLE ADS,2024,,in corso,9 al giorno,"€4,265.20","Abruzzo, Italy
region
1,760,000        
Aosta Valley, Italy
region
181,000        
Apulia, Italy
region
4,720,000        
Basilicata, Italy
region
1,390,000        
Calabria, Italy
region
2,330,000        
Campania, Italy
region
7,400,000        
Emilia-Romagna, Italy
region
7,320,000        
Friuli-Venezia Giulia, Italy
region
2,330,000        
Lazio, Italy
region
14,100,000        
Liguria, Italy
region
2,140,000        
Lombardy, Italy
region
29,100,000        
Marche, Italy
region
2,430,000        
Molise, Italy
region
230,000        
Piedmont, Italy
region
6,980,000        
Sardinia, Italy
region
1,480,000        
Sicily, Italy
region
5,690,000        
Trentino-South Tyrol, Italy
region
1,870,000        
Tuscany, Italy
region
6,240,000        
Umbria, Italy
region
947,000        
Veneto, Italy
region",,,,,"Risultati per tutta la durata della campagna, dal 2020 
- conversioni 283.52
- valore conversioni 27,941.21
- costo conversione € €15.04"
Tiktok Community Interaction Febbraio 2026,TIKTOK,16/2/25,16/3/25,completata,"€ 560,00","€ 400,00","Italia, pubblico 30-65 senza interessi",,"Campagna che pubblicizza i video della pagina Tiktok, con l'obiettivo di acquisire visualizzazioni e follower. Video più performanti testimonianze clienti 
",,,"Impression 179,065
follower 913
costo 0,44 per follower"
Tiktok Community Interaction Aprile 2026,TIKTOK,15/4/26,14/5/26,completata,"€ 400,00","€ 400,00","Italia, pubblico 30-65 senza interessi",,"Campagna che pubblicizza i video della pagina Tiktok, con l'obiettivo di acquisire visualizzazioni e follower. Video più performanti testimonianze clienti 
",,,"Impression 135,426
follower 446
costo 0,90 per follower
"
