"ID del post","ID della Pagina","Nome della Pagina",Titolo,Descrizione,"Durata (s)","Orario di pubblicazione","Tipo di didascalia",Permalink,"È un cross-posting","È una condivisione","Tipo di post",Lingue,"Etichette personalizzate","Stato del contenuto finanziato","Commento sui dati",Data,Visualizzazioni,Copertura,"Reazioni, commenti e condivisioni",Reazioni,Commenti,Condivisioni,"Clic totali","Utilizzo del pubblico corrispondente alla targetizzazione (Photo Click)","Altri clic","Clic sul link","Visualizzazioni da Post organici","Visualizzazioni da Post in evidenza","Copertura da Post organici","Copertura da Post in evidenza","Visualizzazioni del video di 3 secondi","Visualizzazioni del video di 1 minuto","Persone che hanno visualizzato per 3 secondi","Persone che hanno visualizzato per 1 minuto","Visualizzazioni del video di 3 secondi da Post in evidenza","Visualizzazioni del video di 3 secondi da Post organici","Visualizzazioni di Secondi","Visualizzazioni di Secondi in media","Ricavi stimati (USD)","CPM delle inserzioni: (USD)","Impression delle inserzioni","Persone che hanno visualizzato e che tornano ","Visualizzazioni del video di 1 minuto da parte delle persone che hanno visualizzato e che tornano ","Visualizzazioni di Secondi da parte delle persone che hanno visualizzato e che tornano ","Visualizzazioni di Secondi in media da parte delle persone che hanno visualizzato e che tornano "
1629175772542502,100063502856757,NEOGELA,"La colazione che protegge le tue ossa","🥣 La salute delle tue ossa inizia dalla colazione!
Il primo pasto della giornata può fare molta più differenza di quanto immagini.

Una colazione ricca di zuccheri e povera di nutrienti può lasciarti con poca energia e offrire poco supporto a muscoli e ossa 🦴

Per costruire una colazione davvero completa prova a inserire:
🥛 Una fonte proteica, perché le ossa sono fatte anche di proteine del tessuto connettivo
🥜 Alimenti ricchi di micronutrienti come calcio, vitamina D e vitamina K2
🍓 Frutta fresca e frutta secca per completare il pasto con vitamine e minerali

E se desideri un supporto in più per il tessuto connettivo, puoi aggiungere il collagene alla tua bevanda preferita: è neutro nel gusto e si integra facilmente nella tua routine quotidiana.☕

📩 Vuoi idee personalizzate per la tua colazione? Scrivici e ti aiutiamo a costruire la più adatta a te!",71,"07/02/2026 03:03",auto,https://www.facebook.com/reel/1328583399444263/,0,0,Video,,,,,Totale,3815,3510,46,39,2,5,31,,31,,3806,0,3510,0,1762,664,1732,658,0,1762,67978.448,19.262,0,0,0,44,44,2728.873,90.962433333333
1655848943208518,100063502856757,NEOGELA,"Le ossa non danno segnali","Uno degli aspetti più insidiosi dell'osteoporosi è che le tue ossa peggiorano senza che tu te ne accorga 🦴

Quando arriva il risultato della MOC e scopri che la fragilità ossea è già tardi.
La salute delle ossa non si protegge solo quando arriva una diagnosi, va costruita ogni giorno, attraverso piccoli gesti costanti come:
🏃 movimento adatto
🥗 un'alimentazione equilibrata
🦴 un supporto mirato, quando necessario, come il collagene
❤️ e soprattutto, tanta costanza!

👉 Scopri come il collagene può aiutarti su neogela.com",64,"07/31/2026 03:02",auto,https://www.facebook.com/reel/1707044610532934/,0,0,Video,,,,,Totale,6509,6034,53,44,5,4,178,,168,10,6496,0,6034,0,3105,910,3105,910,0,3105,108500.513,18.726,0,0,0,109,109,6154.216,84.304328767123
1653913373402075,100063502856757,NEOGELA,"Ossa giovani anche a 50 anni","🦴A 50 anni le ossa sono destinate a indebolirsi! Aspetta un attimo ✋

L'età passa per tutti, sì ma la salute delle ossa dipende anche dalle scelte che fai ogni giorno. 

Ecco 3 abitudini che possono fare la differenza 👇
🏋️ 1. Muoviti con regolarità
🥛 2. Non pensare solo al calcio
😴 3. Prenditi cura del tuo stile di vita

Le ossa non smettono di rispondere ai tuoi stimoli solo perché hai compiuto 50 anni!

👉 Se vuoi capire come tenerle in forma, rimani informato sul nostro profilo!",58,"07/29/2026 03:02",auto,https://www.facebook.com/reel/2197111197738485/,0,0,Video,,,,,Totale,1830,1793,12,12,0,0,5,,5,,1830,0,1793,0,707,0,707,0,0,707,13094.69,7.689,0,0,0,,,,
1651984063595006,100063502856757,NEOGELA,"Le ossa non sono solo calcio!","🦴Pensi che per avere ossa forti basti assumere calcio? Non stai considerando un pezzo fondamentale del puzzle.

Le ossa non sono fatte solo di minerali, al loro interno hanno una vera e propria ""impalcatura"" composta soprattutto da proteine e collagene.

Immaginale così👇
🧱 Il calcio è il cemento
🏗️ Il collagene è la struttura che tiene tutto insieme

Senza una struttura solida, anche tanto calcio può non essere sufficiente, per questo serve lavorare su più fronti:
🥗 alimentazione adeguata
🏃 movimento regolare
🦴 supporto al tessuto connettivo 

👉 Se vuoi prenderti cura davvero delle tue ossa, inizia da quello che metti ogni giorno nel tuo piatto e da come ti muovi!",59,"07/27/2026 03:03",auto,https://www.facebook.com/reel/1527744685702240/,0,0,Video,,,,,Totale,4422,4173,31,28,0,3,43,,43,,4419,0,4173,0,1540,0,1489,0,0,1540,36344.06,8.951,0,0,0,,,,
1649320340528045,100063502856757,NEOGELA,"Ogni luglio ci arrivano sempre le stesse domande sul collagene. ☀️
""Si deteriora col caldo?"" ""Se salto qualche giorno in vacanza?"" ""Posso metterlo in acqua fredda?""

Le abbiamo raccolte tutte e risposte una per una. ➡️ Scorri.

💬 C'è una domanda che non hai trovato qui? Scrivila nei commenti: risponderemo!",,0,"07/24/2026 03:01",N/A,https://www.facebook.com/neogela/posts/pfbid026HB7c1ZBux2R41WvU69K1zV3aPBWRSwRG2snLh3QdTC3GgsM59ShGvPqJubmUZptl,0,0,Foto,,,,,Totale,465,254,1,1,0,0,5,2,3,,465,0,254,0,0,0,0,0,0,0,,,,,,,,,
1647558910704188,100063502856757,NEOGELA,"Calcio alto nel sangue? Un segnale importante","🦴 Se hai il calcio alto nel sangue e pensi di avere ossa forti, potresti sbagliarti!

Il calcio è fondamentale per la salute ossea, ma deve trovarsi nelle ossa, non nel sangue.
Quando i valori nel sangue risultano elevati, in alcuni casi potrebbe significare che il corpo sta prelevando calcio proprio dal tessuto osseo ⚠️

Ecco perché un valore alto non è sempre una buona notizia, infatti potrebbe essere associato a condizioni come:
🔹 osteopenia
🔹 osteoporosi
🔹 iperparatiroidismo
🔹 alcune problematiche renali

Per questo, per la salute delle ossa, serve un approccio completo:
☀️ Vitamina D per l'assorbimento del calcio
🏃 Movimento per stimolare il tessuto osseo
🦴 Supporto della matrice ossea attraverso nutrienti specifici, come il collagene idrolizzato

👉 Se vuoi approfondire l’argomento e sapere come preservare le tue ossa al meglio seguici!
Continueremo a spiegarti la scienza che c’è dietro la salute ossea.",69,"07/22/2026 03:34",auto,https://www.facebook.com/reel/4573842249514987/,0,0,Video,,,,,Totale,22150,22447,194,165,8,21,530,,530,,22104,0,22447,0,9995,1325,9980,1325,0,9995,222507.529,10.593,0,0,0,32,32,1815.631,90.78155
1645759680884111,100063502856757,NEOGELA,"Economico non significa conveniente","Quando si parla di collagene, guardare solo il prezzo della confezione è uno degli errori più comuni 👇

Un integratore può sembrare conveniente, ma quanto collagene stai assumendo davvero ogni giorno?
🦴 Per supportare la salute di ossa, articolazioni e tessuti connettivi, il dosaggio efficace parte da5 grammi al giorno.

✨ Neogela contiene collagene al 98%, una concentrazione molto elevata rispetto a molti prodotti presenti sul mercato.
Molti integratori in capsule apportano circa1 grammo al giorno.

Questo significa che, per raggiungere il dosaggio corretto, spesso servono molte più capsule e molte più confezioni 📦

Ma non è solo una questione di quantità, è anche una questione di supporto 🤝

Con Neogela puoi confrontarti con un team dedicato, inviare i tuoi referti e ricevere indicazioni personalizzate!

👉 Scopri di più su neogela.com",75,"07/20/2026 03:02",auto,https://www.facebook.com/reel/2570503333405780/,0,0,Video,,,,,Totale,824,757,7,4,3,0,6,,6,,824,0,757,0,242,25,235,25,0,242,5517.387,7.269,0,0,0,,,,
1643147017812044,100063502856757,NEOGELA,"Le domande che tutti fanno","Se usi il collagene, probabilmente ti sei fatto almeno una di queste domande. E no, non sei l'unico 👆

Quando si parla di collagene l'informazione corretta fa la differenza. Spesso, infatti, il problema non è il prodotto, ma i falsi miti che gli girano intorno 🦴✨

💬 Quale di queste domande ti sei fatto almeno una volta?",8,"07/17/2026 03:03",N/A,https://www.facebook.com/reel/1365460725789178/,0,0,Video,,,,,Totale,641,443,1,1,0,0,2,,2,,640,0,443,0,243,0,230,0,0,243,2703.809,6.215,0,0,0,,,,
1641286947998051,100063502856757,NEOGELA,"Ho ritrovato la serenità","🦴Ti hanno mai detto: ""Faccia attenzione, le sue ossa sono fragili""?

Per molte persone con osteoporosi, il problema non è solo la diagnosi.
È la paura che arriva dopo e spesso c'è anche un'altra sensazione: la solitudine 💔

Perché quando ricevi una diagnosi di osteoporosi o osteopenia, non hai bisogno solo di un prodotto, ma di accompagnamento.
Di qualcuno che ti aiuti a capire come prenderti cura delle tue ossa, del movimento, dell'alimentazione e della tua quotidianità 🤝

Questa testimonianza ci ricorda una cosa importante:
✨ ritrovare fiducia nei propri movimenti significa ritrovare serenità. Poter tornare a vivere con meno paura, con più consapevolezza e con la sensazione di fare finalmente qualcosa per la propria salute ossea.

Se anche tu hai ricevuto una diagnosi di osteoporosi, sappi che non sei sola!
👉 Scopri di più su neogela.com",110,"07/15/2026 03:03",N/A,https://www.facebook.com/reel/1010533075221944/,0,0,Video,,,,,Totale,530,494,1,1,0,0,3,,2,1,529,0,494,0,243,10,238,10,0,243,3664.415,7.328,0,0,0,,,,
1640376348089111,100063502856757,NEOGELA,"Mangiare proteine non basta per le tue ossa","Una delle convinzioni più diffuse (e anche una delle più sbagliate) è che mangiando già molte proteine il collagene non serva. 

Sì, il collagene è una proteina, ma ha una funzione completamente diversa.
Le proteine ""classiche"" aiutano soprattutto il mantenimento della massa muscolare 💪
Il collagene, invece, èl’impalcatura di ossa, articolazioni, cartilagini, tendini e pelle 🦴

Il problema è che 📉 già dai 25-30 anni la sua produzione naturale inizia a diminuire e con il tempo, possono comparire:
🔹 maggiore rigidità articolare
🔹 recupero più lento dopo l'attività fisica
🔹 maggiore fragilità dei tessuti

Inoltre, le proteine alimentari non apportano gli aminoacidi del collagene nelle stesse proporzioni necessarie a sostenere la struttura dei tessuti connettivi.

🧠 Comprendere questa differenza può aiutarti a prenderti cura delle tue ossa e delle tue articolazioni nel lungo periodo.

Conoscevi questa distinzione? 💬 Scrivicelo nei commenti!",83,"07/14/2026 03:36",auto,https://www.facebook.com/reel/777556488753261/,0,0,Video,,,,,Totale,718,689,3,3,0,0,2,,2,,718,0,689,0,267,39,264,39,0,267,6245.753,9.157,0,0,0,,,,
