"ID del post","ID della Pagina","Nome della Pagina",Titolo,Descrizione,"Durata (s)","Orario di pubblicazione","Tipo di didascalia",Permalink,"È un cross-posting","È una condivisione","Tipo di post",Lingue,"Etichette personalizzate","Stato del contenuto finanziato","Commento sui dati",Data,Visualizzazioni,Copertura,"Reazioni, commenti e condivisioni",Reazioni,Commenti,Condivisioni,"Clic totali","Utilizzo del pubblico corrispondente alla targetizzazione (Photo Click)","Altri clic","Clic sul link","Visualizzazioni da Post organici","Visualizzazioni da Post in evidenza","Copertura da Post organici","Copertura da Post in evidenza","Visualizzazioni del video di 3 secondi","Visualizzazioni del video di 1 minuto","Persone che hanno visualizzato per 3 secondi","Persone che hanno visualizzato per 1 minuto","Visualizzazioni del video di 3 secondi da Post in evidenza","Visualizzazioni del video di 3 secondi da Post organici","Visualizzazioni di Secondi","Visualizzazioni di Secondi in media","Ricavi stimati (USD)","CPM delle inserzioni: (USD)","Impression delle inserzioni","Persone che hanno visualizzato e che tornano ","Visualizzazioni del video di 1 minuto da parte delle persone che hanno visualizzato e che tornano ","Visualizzazioni di Secondi da parte delle persone che hanno visualizzato e che tornano ","Visualizzazioni di Secondi in media da parte delle persone che hanno visualizzato e che tornano "
1598767162250030,100063502856757,NEOGELA,"Quando si parla di collagene, ossa e articolazioni, ciò che conta non è solo la promessa in etichetta, ma cosa c’è davvero dentro.

I produttori però non sono obbligati a mostrare pubblicamente analisi e certificazioni della materia prima.
Questo significa che potresti assumere qualcosa ogni giorno senza sapere:
🔹 da dove arriva
🔹 come è stato controllato
🔹 se è stato verificato per sostanze nocive

💡 Per questo la differenza la fa la trasparenza: abbiamo deciso, quindi, di dare accesso a tutte le certificazioni sulla materia prima e sugli allevamenti a chiunque ci chieda maggiori dettagli.

Se vuoi approfondire o verificare, le certificazioni sono disponibili sul nostro sito 👉 neogela.com","Quando si parla di collagene, ossa e articolazioni, ciò che conta non è solo la promessa in etichetta, ma cosa c’è davvero dentro.

I produttori però non sono obbligati a mostrare pubblicamente analisi e certificazioni della materia prima.
Questo significa che potresti assumere qualcosa ogni giorno senza sapere:
🔹 da dove arriva
🔹 come è stato controllato
🔹 se è stato verificato per sostanze nocive

💡 Per questo la differenza la fa la trasparenza: abbiamo deciso, quindi, di dare accesso a tutte le certificazioni sulla materia prima e sugli allevamenti a chiunque ci chieda maggiori dettagli.

Se vuoi approfondire o verificare, le certificazioni sono disponibili sul nostro sito 👉 neogela.com",71,"06/01/2026 03:02",auto,https://www.facebook.com/reel/1871268650194118/,0,0,Video,,,,,Totale,626,581,2,2,0,0,4,,3,1,626,0,581,0,151,6,149,6,0,151,2252.277,3.917,0,0,0,,,,
1623458416447571,100063502856757,NEOGELA,"Sarcopenia: perchè perdi muscoli dopo i 40 anni","⚠️ Dopo i 40 anni perdi massa muscolare ogni anno anche se non te ne accorgi.

Meno muscoli significa:
❌ meno forza
❌ meno equilibrio
❌ più rischio di cadute
❌ più stress su articolazioni e ossa
Questo processo ha un nome: sarcopenia 🦴

Spesso inizia in silenzio e molto prima di quanto immagini, ma puoi già fare qualcosa oggi!
Non servono allenamenti estremi e ore in palestra, bastano esercizi di forza progressiva con movimenti semplici ed eseguiti con costanza:
✔️ squat controllati
✔️ esercizi per gambe e glutei
✔️ lavoro su postura ed equilibrio

Muscoli 💪🏼e ossa lavorano insieme: ogni volta che il muscolo si attiva, invia uno stimolo prezioso anche al tessuto osseo. Ecco perché mantenere una buona massa muscolare significa proteggere anche la salute delle ossa, delle articolazioni e la qualità della vita negli anni.

💬 Tu svolgi già esercizi di forza durante la settimana?",59,"06/26/2026 03:04",N/A,https://www.facebook.com/reel/2175343493248545/,0,0,Video,,,,,Totale,1686,1608,9,9,0,0,6,,6,,1686,0,1608,0,607,0,607,0,0,607,11970.299,7.629,0,0,0,,,,
1619527580173988,100063502856757,NEOGELA,"Come si recupera da una frattura?","🏃‍♂️ Ti alleni regolarmente, ma hai un dolore che torna sempre nello stesso punto?
Molti non sanno che potrebbe essere il primo segnale di una frattura da stress. ⚠️

A differenza delle fratture ""classiche"", quelle da stress non nascono da una caduta o da un trauma improvviso, ma si sviluppano lentamente, giorno dopo giorno, quando l'osso viene sottoposto a carichi eccessivi senza il giusto recupero.

I segnali iniziali sono: 
🔹 Dolore durante la corsa o l'allenamento
🔹 Fastidio che migliora con il riposo
🔹 Sensazione che ritorna sempre nello stesso punto

Il rischio è continuare ad allenarsi pensando che passerà da solo perchè quando l'osso non riesce più a recuperare, quel piccolo fastidio può trasformarsi in una vera microfrattura 🦴

Per questo il recupero conta tanto quanto l'allenamento e ricorda: ascoltare il tuo corpo oggi può evitarti mesi di stop domani.

💬 Ti è mai capitato di avere un dolore che tornava sempre nello stesso punto durante gli allenamenti?",64,"06/22/2026 03:31",auto,https://www.facebook.com/reel/996466669847486/,0,0,Video,,,,,Totale,514,516,3,3,0,0,0,,,,514,0,516,0,137,8,133,8,0,137,2882.492,5.955,0,0,0,,,,
1616606407132772,100063502856757,NEOGELA,"Ti alleni tanto senza recuperi correttamente non va bene 🏋️

Allenarsi senza recuperare bene può aumentare stress articolare, rigidità e affaticamento muscolare. 
Ecco 5 buone abitudini che possono fare una grande differenza 👇
🔥 Riscaldarti 
📈 Aumentare il carico gradualmente
🚶 Fare recupero attivo
💧 Dormire e idratarti con costanza
🍽️ Nutrire bene il corpo

🦴 Infine, non per importanza, la continuità. Essere costanti conta più dell’intensità del singolo allenamento.

📤 Condividilo con chi si allena sempre con te!",,0,"06/19/2026 03:01",N/A,https://www.facebook.com/neogela/posts/pfbid0ifzKvPyLscvvEdeSrsQjUFJdrt4mdf9qGUCtvN7hKGgXXWRGLsQsWviRQf3gnbPal,0,0,Foto,,,,,Totale,399,263,1,1,0,0,7,6,1,,399,0,263,0,0,0,0,0,0,0,,,,,,,,,
1614723617321051,100063502856757,NEOGELA,"L’errore più comune con l’osteoporosi","⚠️ Hai l'osteoporosi e pensi che ormai non ci sia più niente da fare?
Questo è forse l'errore più pericoloso di tutti perché molto spesso non è la diagnosi a peggiorare la situazione, ma le abitudini che la seguono.

Le ossa sono tessuti vivi 🦴e continuano a rispondere agli stimoli che ricevono ogni giorno.
Ecco i 5 errori più comuni che possono accelerarne l'indebolimento👇
❌ Muoversi troppo poco
❌ Seguire una dieta poco equilibrata
❌ Evitare controlli periodici
❌ Non modificare il proprio stile di vita
❌ Non intraprendere alcun percorso di supporto

Il primo passo è smettere di ignorare il problema per iniziare a prendersi cura delle proprie ossa. 

👉 Scopri di più su neogela.com",66,"06/17/2026 03:01",N/A,https://www.facebook.com/reel/1001635075943993/,0,0,Video,,,,,Totale,2825,2591,22,18,4,0,45,,41,4,2823,0,2591,0,1139,355,1139,355,0,1139,37942.782,14.678,0,0,0,,,,
1612664337526979,100063502856757,NEOGELA,"Sai che le ossa sono vive?","🦴 Pensi che le ossa siano solo ""pezzi duri"" del corpo? Questa cosa potrebbe sorprenderti 👇

Le ossa sono tessuti vivi 🌱che si rinnovano e lavorano ogni giorno per mantenerti forte e stabile. 

Una cosa importante da sapere è che le ossa non sono fatte solo di calcio, ma hanno anche una struttura (composta soprattutto da collagene), un’armatura flessibile dentro la parte più rigida 🧬
💡 È proprio questa struttura che aiuta le ossa a essere resistenti senza diventare fragili.

Questo equilibrio con il passare degli anni tende a diminuire piano piano (nelle donne, dopo la menopausa, il processo può accelerare) facendo diventare le ossa più porose e vulnerabili. 

Ma la buona notizia è che puoi prendertene cura ogni giorno, fin da subito, attraverso:
✅ movimento regolare
✅ alimentazione equilibrata
✅ vitamina D
✅ collagene specifico per la salute ossea

Vuoi iniziare a proteggere le tue ossa prima che diventino fragili?
📩 Scrivici, ti aiutiamo a capire da dove partire!",98,"06/15/2026 03:01",N/A,https://www.facebook.com/reel/1772141280445088/,0,0,Video,,,,,Totale,11223,10402,160,121,14,25,282,,282,,11211,0,10402,0,5525,1312,5510,1294,0,5525,194512.716,18.873,0,0,1,49,49,3557.803,131.77048148148
1610673334392746,100063502856757,NEOGELA,"Non guardare solo il prezzo","🗣️ ""Questo collagene costa troppo."" ➡️ È una delle obiezioni che sentiamo più spesso.

Molti integratori di collagene sembrano economici perché osserviamo solo il prezzo sulla confezione.
Es. 30€ per una scatola? Sembra un affare!

Poi però scopri che ogni capsula contiene 1 grammo di collagene e che per raggiungere un dosaggio di supporto a ossa, articolazioni e cartilagini servono almeno 5️⃣ grammi al giorno 🦴

Facciamo due conti 👇
📦 30 capsule = circa 30 grammi totali
📅 Per assumere 5 grammi al giorno la confezione durerebbe appena 6 giorni.
Per coprire un mese servirebbero circa 5 confezioni.
💰 Totale? Circa 150€.

Ecco perché il prezzo della scatola racconta solo una parte della storia.
Quando scegli un collagene guarda sempre anche quanto collagene stai assumendo davvero ogni giorno 🎯

👉 Se vuoi capire come leggere davvero un integratore di collagene, continua a informarti e fai sempre i conti fino in fondo!",78,"06/13/2026 03:01",auto,https://www.facebook.com/reel/1720685459063312/,0,0,Video,,,,,Totale,593,537,2,2,0,0,2,,2,,593,0,537,0,256,41,248,40,0,256,5799.245,10.759,0,0,0,,,,
1609718301154916,100063502856757,NEOGELA,"La salute delle ossa si costruisce oggi","Hai 20, 30 o 40 anni? Questo messaggio riguarda te!

L'osteoporosi non inizia quando arriva una frattura, inizia molto prima 🦴

La verità che pochi conoscono è che la salute delle tue ossa a 60 anni si costruisce già oggi.

Nei primi anni della vita adulta il corpo raggiunge il picco di massa ossea, per questo quello che costruisci adesso sarà la tua ""riserva"" per il futuro.

Nel reel presentiamo 3 abitudini che contano più di quanto immagini 🧠

💬 Quanti di questi consigli segui già oggi? Scrivilo nei commenti 👇",57,"06/12/2026 03:01",auto,https://www.facebook.com/reel/1538539281117709/,0,0,Video,,,,,Totale,1114,1028,7,6,0,1,13,,13,,1112,0,1028,0,455,0,438,0,0,455,9822.401,9.629,0,0,0,,,,
1607760838017329,100063502856757,NEOGELA,"Se hai superato i 30 anni queste abitudini possono indebolire le tue ossa senza sintomi evidenti.

🦴 Fare una vita troppo sedentaria
🏋️ Allenarti sempre senza recuperare davvero
☀️ Esporsi troppo poco al sole
🍽️ Mangiare proteine “a caso”
🚨 Pensare alle ossa solo quando compare il dolore

Non intervenire quando hai già 70 anni, la prevenzione inizia oggi, nelle scelte quotidiane.

📤 Condividi con chi ha 30: potrebbe essergli utile! 💙",,0,"06/10/2026 03:01",N/A,https://www.facebook.com/neogela/posts/pfbid031WSE7EA7zYTq8PvihMUaQVcJnBDrVAVgwffEA9545tgXRmFAoqQWDnji2Hx5TyKBl,0,0,Foto,,,,,Totale,422,295,2,2,0,0,14,13,1,,422,0,295,0,0,0,0,0,0,0,,,,,,,,,
1602848965175183,100063502856757,NEOGELA,"Collagene, glucosamina e condroitina non sono la stessa cosa!","⚠️ Collagene, glucosamina e condroitina non sono la stessa cosa!

Molte persone cercano un integratore per articolazioni, cartilagini e ossa senza sapere che questi ingredienti hanno ruoli molto diversi: 
🔹 Glucosamina e condroitina sono componenti naturali della cartilagine e vengono spesso utilizzate per aiutare a rallentare la sua degenerazione.
🔹 Il collagene idrolizzato, invece, lavora a un livello diverso; non si limita a preservare ciò che c'è già. Contribuisce a sostenere la struttura che aiuta a mantenere in salute articolazioni, tessuti connettivi e supporto osseo.

In parole semplici:
➡️ Glucosamina e condroitina puntano a conservare.
➡️ Il collagene punta a sostenere il rinnovamento.

Ecco perché sempre più persone interessate a osteopenia, osteoporosi, fragilità ossea, recupero da fratture o attività sportiva cercano di capire quale approccio sia più adatto alle proprie esigenze.

👉 Seguici per approfondire la scienza dietro alle soluzioni per il benessere delle tue articolazioni!",96,"06/05/2026 03:01",auto,https://www.facebook.com/reel/1641215673621342/,0,0,Video,,,,,Totale,3472,3035,30,25,2,3,22,,22,,3466,0,3035,0,1135,162,1107,156,0,1135,29374.699,9.043,0,0,0,,,,
