Name,Formato,Stato,Data di pubblicazione,Tipologia contenuto,Soggetto
LYNUP: Raccontiamo la nostra storia,Reel,✅ Pubblicato,27/05/2025,,
NEOGELA: Il vostro collagene va bene anche per la pelle?,Reel,✅ Pubblicato,02/09/2025,EduCollagene,Giulia
NEOGELA: Per quanto tempo prendere il collagene?,Reel,✅ Pubblicato,18/07/2025,EduCollagene,Giulia
"NEOGELA: Rigidità articolare: quali potrebbero essere le cause ",Reel,💻 Da montare,,Informativo,Giulia
NEOGELA: Esercizi indicati in caso di osteoporosi,Reel,✅ Pubblicato,30/09/2025,Consigli,Giulia
NEOGELA: Avete un collagene marino?,Reel,✅ Pubblicato,08/08/2025,EduCollagene,Giulia
"NEOGELA: Diagnosi di osteoporosi: 3 passi da fare subito ",Reel,✅ Pubblicato,19/08/2025,Consigli,Giulia
"NEOGELA: Osteoporosi: terapia farmacologica o trattamento naturale? ",Reel,🗓️ Programmato,04/07/2025,Informativo,Giulia
NEOGELA: Bifosfonati e interventi di odontoiatria,Reel,💻 Da montare,,Informativo,Giulia
NEOGELA: In quanto tempo guarisce una frattura?,Reel,✅ Pubblicato,01/08/2025,Domande dal blog,Giulia
"NEOGELA: Non sempre puoi fidarti delle persone, ma puoi fidarti del team Neogela (v.reference)",Reel,✍🏻 Script da produrre,,Trend,"Giulia, Team"
NEOGELA: unboxing ASMR nuovo packaging e dimostrazione utilizzo prodotto,Reel,✍🏻 Script da produrre,,ADS,
NEOGELA: il magazzino si riempie,Reel,✍🏻 Script da produrre,,Trend,Team
NEOGELA: Pov: integratore che fa ringiovanire le tue ossa con audio trend (v. reference),Reel,✍🏻 Script da produrre,,Trend,Team
NEOGELA: Quanti grammi di Neogela posso prendere al giorno?,Reel,✍🏻 Script da produrre,,Informativo,Giulia
NEOGELA: Quando è meglio assumere il collagene?,Reel,✍🏻 Script da produrre,,Informativo,Giulia
NEOGELA: Come si conserva Neogela e quanto dura?,Reel,✍🏻 Script da produrre,,Informativo,Giulia
NEOGELA: perché prendi il collagene se sei così giovane?,Reel,✍🏻 Script da produrre,,Falso mito,Team
NEOGELA: chissà quanti allergeni ci sono nei vostri integratori,Reel,✍🏻 Script da produrre,,Falso mito,Giulia
NEOGELA: prodotto in promo per Black Friday,Reel,✍🏻 Script da produrre,,ADS,Giulia
"NEOGELA: Trasparenza, cosa significa per Zeta 92",Reel,✅ Pubblicato,17/06/2025,Aziendale,Giulia
NEOGELA: Consulenza gratuita,Reel,✅ Pubblicato,06/06/2025,Differenziazione,"Giulia, Team"
NEOGELA: Curiosità sul collagene,Reel,✅ Pubblicato,24/06/2025,EduCollagene,Giulia
NEOGELA: Perché bisogna assumere un collagene idrolizzato?,Reel,✅ Pubblicato,10/06/2025,Informativo,Giulia
NEOGELA: qual è l’esame più attendibile per diagnosticare l’osteoporosi?,Reel,✅ Pubblicato,22/07/2025,Informativo,Dottore
NEOGELA: Campagna box,Reel,✅ Pubblicato,,ADS,Giulia
NEOGELA: All you need is,Reel,✅ Pubblicato,24/07/2025,Trend,
NEOGELA: È l’ora del collagene,Reel,💻 Da montare,,Trend,Erica
NEOGELA: Neogela in cucina,Reel,✅ Pubblicato,13/06/2025,Trend,
NEOGELA: Magic arm con bustina,Reel,💡 Idea,,Trend,
LYNUP: Perché prendere un multivitaminico in gravidanza?,Reel,✅ Pubblicato,09/06/2025,Informativo,
LYNUP: Perché prendere un multivitaminico in menopausa?,Reel,✅ Pubblicato,29/05/2025,Informativo,Giulia
"LYNUP: Quali sono gli alimenti più ricchi di… ",Reel,✅ Pubblicato,30/06/2025,Informativo,Giulia
"LYNUP: Mal di schiena, dolore alle ginocchia…",Reel,✅ Pubblicato,19/06/2025,Informativo,Giulia
LYNUP: Quanti integratori!,Reel,✅ Pubblicato,12/06/2025,Differenziazione,Giulia
LYNUP: Giusto dosaggio giornaliero,Reel,✅ Pubblicato,05/06/2025,Consigli,Giulia
LYNUP: Quanti cicli fare all’anno,Reel,✅ Pubblicato,23/06/2025,Consigli,Giulia
"LYNUP: Sono in menopausa, cosa devo integrare?",Reel,✅ Pubblicato,24/07/2025,Domande dal blog,Giulia
"LYNUP: Sono in osteoporosi, cosa devo integrare? ",Reel,🗓️ Programmato,26/06/2025,Domande dal blog,Giulia
LYNUP: Vitamina D e calcio sono sufficienti per la salute ossea?,Reel,✅ Pubblicato,07/07/2025,Domande dal blog,Giulia
LYNUP: Che funzione hanno le vitamine e i minerali per le ossa,Reel,✅ Pubblicato,02/06/2025,Informativo,Giulia
